"Färdigställda lägenheter i nybyggda hus efter hustyp, lägenhetstyp och år"

"hustyp","lägenhetstyp","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"flerbostadshus","1 rum, 1 rum och kokvrå",1482,2222,3343,5154,3916,3362,3389,2928,2241,2791,1963,5231,2980,3604,2317,2045,1395,1661,1341,954,779,893,1464,1800,1824,2700
"flerbostadshus","1 rum och kök",2811,2911,1999,1361,604,538,538,247,189,284,295,343,979,992,1015,1577,1219,1664,980,1077,928,1338,1982,2589,3170,5342
"flerbostadshus","2 eller flera rum med eller utan kokvrå",927,1169,1253,1136,637,836,699,382,351,201,241,498,395,372,437,436,192,175,84,67,156,270,134,99,98,146
"flerbostadshus","2 rum och kök",15771,15502,9129,4297,1984,2309,1838,1336,1405,1564,1887,2176,2477,2982,3664,5668,5720,6068,4138,3125,4028,5393,6367,6550,8528,10264
"flerbostadshus","3 rum och kök",12012,10937,6659,3027,1255,1472,1669,1418,1512,1371,1741,2526,2817,3627,3532,5798,6361,6549,4911,3314,4170,5249,6702,6354,7976,8396
"flerbostadshus","4 rum och kök",4304,4259,2782,1172,492,677,858,713,785,996,1088,1475,1880,1798,1804,2848,3125,3198,2567,1854,2198,3038,3444,2923,3510,3541
"flerbostadshus","5 rum och kök",774,721,484,206,52,185,124,149,149,173,238,413,278,274,186,394,397,572,394,221,279,465,540,372,406,612
"flerbostadshus","6 rum och kök",102,58,37,29,11,9,23,5,15,21,68,40,34,46,20,20,26,61,26,13,47,8,27,61,47,25
"flerbostadshus","7 eller flera rum och kök",18,8,2,2,1,2,1,1,4,4,6,12,3,10,17,10,9,1,6,0,2,3,3,6,6,4
"småhus","1 rum, 1 rum och kokvrå",10,15,1,4,5,2,3,1,1,19,1,2,3,6,4,0,18,2,3,3,1,7,2,15,2,2
"småhus","1 rum och kök",88,62,36,23,58,5,13,8,11,20,10,4,3,12,6,12,25,17,5,11,14,7,5,24,6,9
"småhus","2 eller flera rum med eller utan kokvrå",18,25,23,7,9,8,11,15,23,18,8,14,10,26,13,10,4,10,5,18,15,8,3,0,3,7
"småhus","2 rum och kök",2417,1833,685,380,222,137,187,147,159,117,202,187,143,240,236,284,168,232,199,212,169,201,176,191,195,272
"småhus","3 rum och kök",5296,3919,1838,980,515,575,802,640,669,671,897,753,761,1153,953,1265,1194,1194,849,932,756,1026,924,821,873,1031
"småhus","4 rum och kök",10622,7716,3767,2049,1330,1335,1362,1554,1748,1591,2140,1835,2220,2954,2480,2674,2877,2673,1765,1890,1540,1898,1886,1759,1828,2398
"småhus","5 rum och kök",7287,4549,2292,1187,958,1018,864,1064,1350,1583,2045,2017,2178,3133,3037,3171,3972,3855,2472,2672,2520,2862,2554,2628,3061,3881
"småhus","6 rum och kök",2551,1165,617,448,444,417,429,615,719,1006,1575,1538,1828,2524,2192,2350,2473,2741,2059,2027,1531,2099,1844,1783,1867,2401
"småhus","7 eller flera rum och kök",396,248,141,168,185,198,197,236,381,554,1006,877,997,1530,1155,1270,1352,1348,1017,1110,931,1228,1168,1189,1203,1410
